"","model","em","iteration","model_converged....ifelse.file.exists.file.path.dir_iter...covar.sso......","model_runtime....runtime"
"73","Simple","recdev_2","iteration_2",TRUE,3.02477676868439
"74","Simple","recdev_2","iteration_3",TRUE,1.65076469977697
"75","Simple","recdev_2","iteration_4",TRUE,1.94313221772512
"76","Simple","recdev_2","iteration_5",TRUE,1.61341816584269
"77","Simple","recdev_2","iteration_6",TRUE,1.65539708137512
"78","Simple","recdev_2","iteration_7",TRUE,1.67104648351669
"79","Simple","recdev_2","iteration_8",TRUE,1.64361015160879
"80","Simple","recdev_2","iteration_9",TRUE,1.68359786669413
"81","Simple","recdev_3","iteration_1",TRUE,3.00705261627833
"82","Simple","recdev_3","iteration_10",TRUE,1.71250355243683
"83","Simple","recdev_3","iteration_2",TRUE,2.96628476778666
"84","Simple","recdev_3","iteration_3",TRUE,1.60778340101242
"85","Simple","recdev_3","iteration_4",FALSE,1.04047818183899
"86","Simple","recdev_3","iteration_5",TRUE,1.66659356753031
"87","Simple","recdev_3","iteration_6",TRUE,1.63337515195211
"88","Simple","recdev_3","iteration_7",TRUE,1.65297161738078
"89","Simple","recdev_3","iteration_8",TRUE,1.63054506778717
"90","Simple","recdev_3","iteration_9",TRUE,1.71486528317134
"91","Simple_with_Discard","recdev_1","iteration_1",TRUE,3.79549208084742
"92","Simple_with_Discard","recdev_1","iteration_10",TRUE,2.11449549992879
"93","Simple_with_Discard","recdev_1","iteration_2",TRUE,3.76115163167318
"94","Simple_with_Discard","recdev_1","iteration_3",TRUE,2.19887118339539
"95","Simple_with_Discard","recdev_1","iteration_4",TRUE,2.23027340173721
"96","Simple_with_Discard","recdev_1","iteration_5",TRUE,2.13549293279648
"97","Simple_with_Discard","recdev_1","iteration_6",TRUE,2.18192543188731
"98","Simple_with_Discard","recdev_1","iteration_7",FALSE,1.23502723375956
"99","Simple_with_Discard","recdev_1","iteration_8",TRUE,2.10621508359909
"100","Simple_with_Discard","recdev_1","iteration_9",TRUE,2.19156313339869
"101","Simple_with_Discard","recdev_2","iteration_1",TRUE,3.79561719894409
"102","Simple_with_Discard","recdev_2","iteration_10",TRUE,2.11819761594137
"103","Simple_with_Discard","recdev_2","iteration_2",TRUE,3.78168161710103
"104","Simple_with_Discard","recdev_2","iteration_3",TRUE,2.21720449924469
"105","Simple_with_Discard","recdev_2","iteration_4",TRUE,2.23741741577784
"106","Simple_with_Discard","recdev_2","iteration_5",TRUE,2.12625498374303
"107","Simple_with_Discard","recdev_2","iteration_6",TRUE,2.17644846439362
"108","Simple_with_Discard","recdev_2","iteration_7",FALSE,1.22356156905492
"109","Simple_with_Discard","recdev_2","iteration_8",TRUE,2.10447740157445
"110","Simple_with_Discard","recdev_2","iteration_9",TRUE,2.18723594745
"111","Simple_with_Discard","recdev_3","iteration_1",TRUE,3.75984863440196
"112","Simple_with_Discard","recdev_3","iteration_10",TRUE,2.11330456733704
"113","Simple_with_Discard","recdev_3","iteration_2",TRUE,3.73100210030874
"114","Simple_with_Discard","recdev_3","iteration_3",TRUE,2.14105078379313
"115","Simple_with_Discard","recdev_3","iteration_4",TRUE,2.21326566537221
"116","Simple_with_Discard","recdev_3","iteration_5",TRUE,2.14874314864477
"117","Simple_with_Discard","recdev_3","iteration_6",TRUE,2.12759681542714
"118","Simple_with_Discard","recdev_3","iteration_7",TRUE,2.50803521871567
"119","Simple_with_Discard","recdev_3","iteration_8",TRUE,2.16030658483505
"120","Simple_with_Discard","recdev_3","iteration_9",TRUE,2.16077040036519
"121","vermillion_snapper","recdev_1","iteration_1",TRUE,3.56736843188604
"122","vermillion_snapper","recdev_1","iteration_10",TRUE,2.91767110029856
"123","vermillion_snapper","recdev_1","iteration_2",TRUE,3.60348694721858
"124","vermillion_snapper","recdev_1","iteration_3",TRUE,2.92661170164744
"125","vermillion_snapper","recdev_1","iteration_4",TRUE,2.88461343447367
"126","vermillion_snapper","recdev_1","iteration_5",TRUE,2.9413660009702
"127","vermillion_snapper","recdev_1","iteration_6",TRUE,2.95449834664663
"128","vermillion_snapper","recdev_1","iteration_7",TRUE,2.97252346674601
"129","vermillion_snapper","recdev_1","iteration_8",TRUE,2.90348163445791
"130","vermillion_snapper","recdev_1","iteration_9",TRUE,2.9904292345047
"131","vermillion_snapper","recdev_2","iteration_1",TRUE,3.56125956376394
"132","vermillion_snapper","recdev_2","iteration_10",TRUE,2.99389108419418
"133","vermillion_snapper","recdev_2","iteration_2",TRUE,3.61654428641001
"134","vermillion_snapper","recdev_2","iteration_3",TRUE,2.9238813996315
"135","vermillion_snapper","recdev_2","iteration_4",TRUE,2.97166698376338
"136","vermillion_snapper","recdev_2","iteration_5",TRUE,2.95081663529078
"137","vermillion_snapper","recdev_2","iteration_6",TRUE,2.97368211746216
"138","vermillion_snapper","recdev_2","iteration_7",TRUE,2.96824816862742
"139","vermillion_snapper","recdev_2","iteration_8",TRUE,2.91083933115006
"140","vermillion_snapper","recdev_2","iteration_9",TRUE,3.00117841561635
"141","vermillion_snapper","recdev_3","iteration_1",TRUE,3.55504225095113
"142","vermillion_snapper","recdev_3","iteration_10",TRUE,2.88696116606394
"143","vermillion_snapper","recdev_3","iteration_2",TRUE,3.61318029959997
"144","vermillion_snapper","recdev_3","iteration_3",TRUE,2.93526949882507
"145","vermillion_snapper","recdev_3","iteration_4",TRUE,2.90191993713379
"146","vermillion_snapper","recdev_3","iteration_5",TRUE,2.93798428376516
"147","vermillion_snapper","recdev_3","iteration_6",TRUE,2.93771555026372
"148","vermillion_snapper","recdev_3","iteration_7",TRUE,2.96655898491542
"149","vermillion_snapper","recdev_3","iteration_8",TRUE,2.85296916564306
"150","vermillion_snapper","recdev_3","iteration_9",TRUE,2.95929173231125
"151","Z_Hake_2018","recdev_1","iteration_1",FALSE,0.632490332921346
"152","Z_Hake_2018","recdev_1","iteration_10",FALSE,0.587051399548848
"153","Z_Hake_2018","recdev_1","iteration_2",FALSE,0.615968100229899
"154","Z_Hake_2018","recdev_1","iteration_3",FALSE,0.634312383333842
"155","Z_Hake_2018","recdev_1","iteration_4",FALSE,0.578627069791158
"156","Z_Hake_2018","recdev_1","iteration_5",FALSE,0.604074716567993
"157","Z_Hake_2018","recdev_1","iteration_6",FALSE,0.535066668192546
"158","Z_Hake_2018","recdev_1","iteration_7",FALSE,0.588775436083476
"159","Z_Hake_2018","recdev_1","iteration_8",FALSE,0.603818949063619
"160","Z_Hake_2018","recdev_1","iteration_9",FALSE,0.600652348995209
"161","Z_Hake_2018","recdev_2","iteration_1",FALSE,0.641478017965952
"162","Z_Hake_2018","recdev_2","iteration_10",FALSE,0.580523931980133
"163","Z_Hake_2018","recdev_2","iteration_2",FALSE,0.635331451892853
"164","Z_Hake_2018","recdev_2","iteration_3",FALSE,0.641400150458018
"165","Z_Hake_2018","recdev_2","iteration_4",FALSE,0.594279901186625
"166","Z_Hake_2018","recdev_2","iteration_5",FALSE,0.597205185890198
"167","Z_Hake_2018","recdev_2","iteration_6",FALSE,0.531707084178925
"168","Z_Hake_2018","recdev_2","iteration_7",FALSE,0.587104614575704
"169","Z_Hake_2018","recdev_2","iteration_8",FALSE,0.605534334977468
"170","Z_Hake_2018","recdev_2","iteration_9",FALSE,0.634258186817169
"171","Z_Hake_2018","recdev_3","iteration_1",FALSE,0.550574600696564
"172","Z_Hake_2018","recdev_3","iteration_10",FALSE,0.55520890156428
"173","Z_Hake_2018","recdev_3","iteration_2",FALSE,0.532258514563243
"174","Z_Hake_2018","recdev_3","iteration_3",FALSE,0.553825799624125
"175","Z_Hake_2018","recdev_3","iteration_4",FALSE,0.596003913879395
"176","Z_Hake_2018","recdev_3","iteration_5",FALSE,0.548358782132467
"177","Z_Hake_2018","recdev_3","iteration_6",FALSE,0.530217881997426
"178","Z_Hake_2018","recdev_3","iteration_7",FALSE,0.573659467697144
"179","Z_Hake_2018","recdev_3","iteration_8",FALSE,0.583905915419261
"180","Z_Hake_2018","recdev_3","iteration_9",FALSE,0.603797733783722
