###
console output
2024-04-30 17:30:06.950645
###
 
 reading from starter.ss
 reading from data file
Data read successful 999

 reading forecast file 
 reading from control file
End of control file successful! 999
Begin setting up parameters ...  end of parameter section 
Evaluating biology calculations once ... done
Starting optimization of 'ss3' in phase 1 of 5 at Tue Apr 30 17:10:33 2024
phase= 4 | nvar= 50 | iter=800 | nll=6.67e+02 | mag=3.61e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=820 | nll=6.67e+02 | mag=6.54e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=840 | nll=6.67e+02 | mag=3.69e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=860 | nll=6.67e+02 | mag=6.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=880 | nll=6.67e+02 | mag=6.35e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=900 | nll=6.67e+02 | mag=2.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=920 | nll=6.67e+02 | mag=4.71e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=940 | nll=6.67e+02 | mag=1.55e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=960 | nll=6.67e+02 | mag=4.36e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=980 | nll=6.67e+02 | mag=4.32e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1000 | nll=6.67e+02 | mag=3.72e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1020 | nll=6.67e+02 | mag=6.40e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1040 | nll=6.67e+02 | mag=1.91e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1060 | nll=6.67e+02 | mag=1.95e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1080 | nll=6.67e+02 | mag=2.27e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1100 | nll=6.67e+02 | mag=1.66e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1120 | nll=6.67e+02 | mag=2.94e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1140 | nll=6.67e+02 | mag=1.49e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1160 | nll=6.67e+02 | mag=1.56e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1180 | nll=6.67e+02 | mag=2.39e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1200 | nll=6.67e+02 | mag=2.67e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1220 | nll=6.67e+02 | mag=2.15e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1240 | nll=6.67e+02 | mag=3.05e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1260 | nll=6.67e+02 | mag=2.90e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1280 | nll=6.67e+02 | mag=3.03e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1300 | nll=6.67e+02 | mag=1.07e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1320 | nll=6.66e+02 | mag=2.50e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1340 | nll=6.66e+02 | mag=3.28e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1360 | nll=6.66e+02 | mag=6.75e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1380 | nll=6.66e+02 | mag=2.68e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1400 | nll=6.66e+02 | mag=3.54e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1420 | nll=6.66e+02 | mag=3.41e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1440 | nll=6.66e+02 | mag=3.42e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1460 | nll=6.66e+02 | mag=2.93e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1480 | nll=6.66e+02 | mag=3.81e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1500 | nll=6.66e+02 | mag=3.99e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1520 | nll=6.66e+02 | mag=2.56e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1540 | nll=6.66e+02 | mag=1.28e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1560 | nll=6.66e+02 | mag=4.37e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1580 | nll=6.66e+02 | mag=4.02e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1600 | nll=6.66e+02 | mag=2.27e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1620 | nll=6.66e+02 | mag=3.84e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1640 | nll=6.66e+02 | mag=3.42e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1660 | nll=6.66e+02 | mag=2.40e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1680 | nll=6.66e+02 | mag=4.29e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1700 | nll=6.66e+02 | mag=5.72e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1720 | nll=6.66e+02 | mag=3.46e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1740 | nll=6.66e+02 | mag=5.42e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1760 | nll=6.66e+02 | mag=2.87e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1780 | nll=6.66e+02 | mag=2.64e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1800 | nll=6.66e+02 | mag=2.39e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1820 | nll=6.66e+02 | mag=1.34e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1840 | nll=6.66e+02 | mag=2.02e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1860 | nll=6.66e+02 | mag=1.63e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1880 | nll=6.66e+02 | mag=1.21e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1900 | nll=6.66e+02 | mag=1.75e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1920 | nll=6.66e+02 | mag=5.13e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1940 | nll=6.66e+02 | mag=2.14e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1960 | nll=6.66e+02 | mag=1.94e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=1980 | nll=6.66e+02 | mag=2.21e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2000 | nll=6.66e+02 | mag=2.11e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2020 | nll=6.66e+02 | mag=2.41e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2040 | nll=6.66e+02 | mag=1.05e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2060 | nll=6.66e+02 | mag=2.82e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2080 | nll=6.66e+02 | mag=2.87e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2100 | nll=6.66e+02 | mag=6.98e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2120 | nll=6.66e+02 | mag=3.20e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2140 | nll=6.66e+02 | mag=3.15e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2160 | nll=6.66e+02 | mag=5.05e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2180 | nll=6.66e+02 | mag=3.27e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2200 | nll=6.66e+02 | mag=3.14e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2220 | nll=6.66e+02 | mag=7.47e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2240 | nll=6.66e+02 | mag=2.99e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2260 | nll=6.66e+02 | mag=3.88e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2280 | nll=6.66e+02 | mag=1.18e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2300 | nll=6.66e+02 | mag=3.81e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2320 | nll=6.66e+02 | mag=1.20e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2340 | nll=6.66e+02 | mag=3.99e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2360 | nll=6.66e+02 | mag=5.87e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2380 | nll=6.66e+02 | mag=4.18e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2400 | nll=6.66e+02 | mag=4.78e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2420 | nll=6.66e+02 | mag=6.95e+04 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2440 | nll=6.66e+02 | mag=5.09e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2460 | nll=6.66e+02 | mag=2.59e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2480 | nll=6.66e+02 | mag=5.21e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2500 | nll=6.66e+02 | mag=4.83e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2520 | nll=6.66e+02 | mag=5.54e+05 | par[  6]=SR_parm[1]
phase= 4 | nvar= 50 | iter=2540 | nll=6.66e+02 | mag=6.58e+05 | par[  6]=SR_parm[1]
