"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50%_Fem_GP_1","Mat_slope_Fem_GP_1","Eggs/kg_inter_Fem_GP_1","Eggs/kg_slope_wt_Fem_GP_1","NatM_uniform_Mal_GP_1","L_at_Amin_Mal_GP_1","L_at_Amax_Mal_GP_1","VonBert_K_Mal_GP_1","CV_young_Mal_GP_1","CV_old_Mal_GP_1","Wtlen_1_Mal_GP_1","Wtlen_2_Mal_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","ForeRecr_2002","ForeRecr_2003","ForeRecr_2004","ForeRecr_2005","ForeRecr_2006","ForeRecr_2007","ForeRecr_2008","ForeRecr_2009","ForeRecr_2010","ForeRecr_2011","LnQ_base_SURVEY1_2","Q_extraSD_SURVEY1_2","LnQ_base_SURVEY2_3","Size_inflection_FISHERY_1","Size_95%width_FISHERY_1","Size_inflection_SURVEY1_2","Size_95%width_SURVEY1_2","minage@sel=1_FISHERY_1","maxage@sel=1_FISHERY_1","minage@sel=1_SURVEY1_2","maxage@sel=1_SURVEY1_2","minage@sel=1_SURVEY2_3","maxage@sel=1_SURVEY2_3","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Size_at_age","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_FISHERY","Curr_Var_Adj_lcomp_flt_2_SURVEY1","Curr_Var_Adj_agecomp_flt_1_FISHERY","Curr_Var_Adj_agecomp_flt_2_SURVEY1","version","RunTime","model_run","scenario"
48516,121050,120584,6500.5,16592.5,0.366876,0.123871,4260.31,18262.7,0.109518,4122.33,10408,0.244222,0.203872,4533.51,4533.51,9.74677e-05,0.296252782587188,0.5508045599002,"1900","1900","2001","2002","1",NA,"LnQ_base_SURVEY2(3)",NA,0.1,21.3655,71.6564,0.149673,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,70.0565,0.159461,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.77963,0.868642,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.458335,0,-7,52.82,17.194,36.8563,5.87477,0,40,0,40,0,0,2965.72,1331.54,7.29982e-11,0,-8.08849,692.405,561.518,92.1084,-7.53159,0,0,1.12808,0.00134923,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.7,"iteration_1","em_recdev_2"
49234.6,123865,123310,6710.65,16838.2,0.381711,0.125325,4116.82,17796.5,0.117053,4053.46,11870.5,0.2869,0.182039,4288.44,4288.44,5.52876e-06,0.251426842098849,0.604576899425477,"1900","1900","2001","2002","1",NA,"LnQ_base_SURVEY2(3)",NA,0.1,22.2929,71.6557,0.143068,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.4439,0.162286,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.81145,0.80554,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.555065,0,-6.95063,54.4167,19.2155,37.0245,7.66322,0,40,0,40,0,0,3023.22,1369.23,2.84728e-12,0,-9.0431,658.512,627.172,96.6987,-5.08682,0,0,0.980766,0.00106395,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.61666666666667,"iteration_2","em_recdev_2"
51309.6,128042,127515,6895.46,17547.9,0.40404,0.113796,3886.74,17319,0.115501,3895.88,14002.8,0.341461,0.143935,3964.48,3964.48,3.46199e-05,0.243545067589691,0.551151251561952,"1900","1900","2001","2002","1",NA,NA,NA,0.1,21.7726,71.7513,0.146443,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.5234,0.164466,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.83862,0.726141,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.443064,0,-6.39571,54.0996,20.239,36.9743,7.10207,0,40,0,40,0,0,3002.99,1342.85,1.57635e-12,0,-7.42548,667.258,604.143,85.4622,-7.63681,0,0,1.04496,0.00110087,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.63333333333333,"iteration_3","em_recdev_2"
51300.1,129377,128878,7034.43,17544.6,0.459555,0.0915772,3192.4,13824.9,0.113715,3150.05,16640.6,0.445081,0.0964997,3196.67,3196.67,6.47835e-05,0.137636963670636,0.600199718848022,"1900","1900","2001","2002","1",NA,NA,NA,0.1,21.296,71.2076,0.151043,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.6489,0.163029,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.85857,0.583219,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.608,0,-6.22546,53.4438,19.6712,36.7037,6.00519,0,40,0,40,0,0,3013.56,1315.72,2.55174e-12,0,-3.08106,652.131,580.025,90.6477,-5.1095,0,0,1.10178,0.00126352,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.33333333333333,"iteration_4","em_recdev_2"
51712,129821,129318,7018.27,17685.5,0.371407,0.129716,4530.72,19233.3,0.116577,4408.79,11574.3,0.258511,0.204383,4785.35,4785.35,9.88796e-06,0.284831373762376,0.517222615412251,"1900","1900","2001","2002","1",NA,NA,NA,0.1,21.3614,71.4702,0.149386,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.2363,0.170929,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.85627,0.848346,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.192545,0,-6.79745,54.1338,19.3295,36.3759,6.79722,0,40,0,40,0,0,2985.69,1310.69,2.1009e-12,0,-4.56552,687.529,558.562,77.0575,-9.01593,0,0,1.12161,0.0011787,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",1.01666666666667,"iteration_5","em_recdev_2"
