"SSB_Unfished","Totbio_Unfished","SmryBio_Unfished","Recr_Unfished","SSB_Btgt","SPR_Btgt","F_Btgt","TotYield_Btgt","SSB_SPR","F_SPR","TotYield_SPR","SSB_MSY","SPR_MSY","F_MSY","TotYield_MSY","Ret_Catch_MSY","max_grad","depletion","alt_sigma_r","last_yr_early","first_yr_full","last_yr_full","first_yr_recent","max_bias_adj","params_on_bound","params_stuck_low","params_stuck_high","NatM_uniform_Fem_GP_1","L_at_Amin_Fem_GP_1","L_at_Amax_Fem_GP_1","VonBert_K_Fem_GP_1","CV_young_Fem_GP_1","CV_old_Fem_GP_1","Wtlen_1_Fem_GP_1","Wtlen_2_Fem_GP_1","Mat50%_Fem_GP_1","Mat_slope_Fem_GP_1","Eggs/kg_inter_Fem_GP_1","Eggs/kg_slope_wt_Fem_GP_1","NatM_uniform_Mal_GP_1","L_at_Amin_Mal_GP_1","L_at_Amax_Mal_GP_1","VonBert_K_Mal_GP_1","CV_young_Mal_GP_1","CV_old_Mal_GP_1","Wtlen_1_Mal_GP_1","Wtlen_2_Mal_GP_1","RecrDist_GP_1","RecrDist_Area_1","RecrDist_month_1","CohortGrowDev","FracFemale_GP_1","SR_LN_R0","SR_BH_steep","SR_sigmaR","SR_regime","SR_autocorr","ForeRecr_2002","ForeRecr_2003","ForeRecr_2004","ForeRecr_2005","ForeRecr_2006","ForeRecr_2007","ForeRecr_2008","ForeRecr_2009","ForeRecr_2010","ForeRecr_2011","LnQ_base_SURVEY1_2","Q_extraSD_SURVEY1_2","LnQ_base_SURVEY2_3","Size_inflection_FISHERY_1","Size_95%width_FISHERY_1","Size_inflection_SURVEY1_2","Size_95%width_SURVEY1_2","minage@sel=1_FISHERY_1","maxage@sel=1_FISHERY_1","minage@sel=1_SURVEY1_2","maxage@sel=1_SURVEY1_2","minage@sel=1_SURVEY2_3","maxage@sel=1_SURVEY2_3","Catch_endyear","NLL_TOTAL","NLL_Catch","NLL_Equil_catch","NLL_Survey","NLL_Length_comp","NLL_Age_comp","NLL_Size_at_age","NLL_Recruitment","NLL_InitEQ_Regime","NLL_Forecast_Recruitment","NLL_Parm_priors","NLL_Parm_softbounds","NLL_Parm_devs","NLL_Crash_Pen","Curr_Var_Adj_lcomp_flt_1_FISHERY","Curr_Var_Adj_lcomp_flt_2_SURVEY1","Curr_Var_Adj_agecomp_flt_1_FISHERY","Curr_Var_Adj_agecomp_flt_2_SURVEY1","version","RunTime","model_run","scenario"
48603.8,121270,120803,6512.62,16622.5,0.358169,0.127962,4417.71,18706.9,0.109478,4222.51,9424.9,0.213721,0.235073,4789.48,4789.48,6.57138e-05,0.29639452059304,0.560521913421212,"1900","1900","2001","2002","1",NA,"LnQ_base_SURVEY2(3)",NA,0.1,21.363,71.6534,0.149712,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,70.0536,0.159498,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.7815,0.910503,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.457146,0,-7,52.8097,17.1895,36.852,5.87184,0,40,0,40,0,0,2965.72,1331.48,7.17896e-11,0,-8.09582,692.363,561.485,92.0978,-7.51767,0,0,1.14453,0.00134987,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.933333333333333,"iteration_1","em_recdev_3"
49210.4,123804,123249,6707.24,16830,0.384994,0.123807,4062.57,17620.1,0.117067,4013.34,12112.6,0.295395,0.175745,4216.15,4216.15,2.90061e-05,0.251946742964902,0.612302245061713,"1900","1900","2001","2002","1",NA,"LnQ_base_SURVEY2(3)",NA,0.1,22.2935,71.6565,0.143059,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.4446,0.162277,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.81094,0.792795,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.554656,0,-6.95184,54.42,19.215,37.026,7.66385,0,40,0,40,0,0,3023.22,1369.23,2.84409e-12,0,-9.04865,658.505,627.189,96.7117,-5.10734,0,0,0.978584,0.00106389,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.95,"iteration_2","em_recdev_3"
51269.3,127942,127415,6889.91,17534.1,0.410313,0.11123,3791.81,16944.1,0.115528,3811.62,14354.1,0.354726,0.136841,3853.25,3853.25,8.6477e-05,0.24368384198731,0.559238893916707,"1900","1900","2001","2002","1",NA,NA,NA,0.1,21.7748,71.7524,0.146426,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.5244,0.164447,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.83781,0.706576,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.443339,0,-6.39523,54.1057,20.2414,36.9763,7.10399,0,40,0,40,0,0,3002.99,1342.84,1.58025e-12,0,-7.42851,667.265,604.167,85.4669,-7.67987,1.54502e-30,0,1.04311,0.00110059,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",0.95,"iteration_3","em_recdev_3"
51357.9,129524,129024,7042.57,17564.4,0.450426,0.0946168,3307.07,14463.7,0.113672,3295.51,16302.5,0.429904,0.10192,3315.64,3315.64,8.09161e-05,0.137484788124125,0.610417505183621,"1900","1900","2001","2002","1",NA,NA,NA,0.1,21.2929,71.2061,0.151067,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.6476,0.163052,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.85973,0.602729,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.60771,0,-6.22678,53.4342,19.6658,36.7016,6.00255,0,40,0,40,0,0,3013.56,1315.69,2.53717e-12,0,-3.08902,652.149,579.933,90.668,-5.0761,1.54502e-30,0,1.10213,0.00126403,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.15,"iteration_4","em_recdev_3"
51685.1,129753,129250,7014.51,17676.3,0.37458,0.128195,4472.34,19058.6,0.116595,4368.81,11867.4,0.267754,0.196355,4701.09,4701.09,0.000136469,0.285327879795144,0.526165435856318,"1900","1900","2001","2002","1",NA,NA,NA,0.1,21.3629,71.4712,0.149371,0.1,0.1,2.44e-06,3.34694,55,-0.25,1,0,0.1,0,69.2371,0.170914,0.1,0.1,2.44e-06,3.34694,0,0,0,1,0.5,8.85574,0.834687,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.192244,0,-6.79852,54.1379,19.3297,36.3781,6.79936,0,40,0,40,0,0,2985.69,1310.68,2.10145e-12,0,-4.5646,687.54,558.568,77.06,-9.0374,0,0,1.11814,0.00117839,0,0,1,1,1,1,"3.30.21.beta: not an official version of SS;_safe;_compile_date:_Apr 28 2023;_Stock_Synthesis_by_Richard_Methot_(NOAA)_using_ADMB_13.1",2.78333333333333,"iteration_5","em_recdev_3"
